"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"czekolada mleczna - za 100g";"cena";"2018";4,13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";26,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";19,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"jaja kurze świeże - za 1szt";"cena";"2018";0,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"pomarańcze - za 1kg";"cena";"2018";5,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"cebula - za 1 kg";"cena";"2018";3,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"czekolada mleczna - za 100g";"cena";"2018";4,13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";27,38;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"jaja kurze świeże - za 1szt";"cena";"2018";0,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"pomarańcze - za 1kg";"cena";"2018";6,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"cebula - za 1 kg";"cena";"2018";2,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"czekolada mleczna - za 100g";"cena";"2018";4,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";27,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"jaja kurze świeże - za 1szt";"cena";"2018";0,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"pomarańcze - za 1kg";"cena";"2018";6,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2018";2,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"czekolada mleczna - za 100g";"cena";"2018";4,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";27,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";27,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";19,13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"jaja kurze świeże - za 1szt";"cena";"2018";0,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"pomarańcze - za 1kg";"cena";"2018";6,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"cebula - za 1 kg";"cena";"2018";2,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"czekolada mleczna - za 100g";"cena";"2018";4,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";3,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";27,38;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";27,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,52;"zł";"";
